"entry_time","trade_date","entry_et","side","entry_price","target_price","stop_price","execution_type","effective_fill_time","outcome","target_hit_time","stop_hit_time","exit_time","slippage_ticks_rt","net_pnl_usd","total_event_size","event_count_delta","or_high","or_low","or_location","time_zone","running_daily_pnl","consecutive_losses","v5_running_daily_pnl","v5_running_daily_peak","v5_drawdown_from_peak"
"2025-09-24 13:52:38.800","2025-09-24","2025-09-24 09:52:38.800","SHORT",24796.75,24786.75,24801.75,"MARKET","2025-09-24 13:52:39.800","TARGET",\N,"2025-09-24 13:52:50.400","2025-09-24 13:52:50.400",3,184.3,83,-7,24841.25,24841.25,"BELOW_OR","POST_OPEN",184.3,0,184.3,184.3,0
"2025-09-24 13:54:53.700","2025-09-24","2025-09-24 09:54:53.700","SHORT",24801.75,24791.75,24806.75,"MARKET","2025-09-24 13:54:54.700","TARGET",\N,"2025-09-24 13:55:14.100","2025-09-24 13:55:14.100",4,179.3,101,3,24841.25,24841.25,"BELOW_OR","POST_OPEN",363.6,0,363.6,363.6,0
"2025-09-24 14:07:56.400","2025-09-24","2025-09-24 10:07:56.400","LONG",24820,24830,24815,"MARKET","2025-09-24 14:07:57.400","STOP","2025-09-24 14:16:14.600","2025-09-24 14:09:28.500","2025-09-24 14:09:28.500",4,-120.7,101,34,24841.25,24841.25,"BELOW_OR","POST_OPEN",242.90000000000003,1,242.90000000000003,363.6,-120.69999999999999
"2025-09-24 14:13:54.200","2025-09-24","2025-09-24 10:13:54.200","LONG",24821.5,24831.5,24816.5,"MARKET","2025-09-24 14:13:55.200","TARGET","2025-09-24 14:16:17.500","2025-09-24 14:21:48.400","2025-09-24 14:21:48.400",3,184.3,94,12,24841.25,24841.25,"BELOW_OR","POST_OPEN",427.20000000000005,0,427.20000000000005,427.20000000000005,0
"2025-09-24 14:24:52.500","2025-09-24","2025-09-24 10:24:52.500","LONG",24814.5,24824.5,24809.5,"MARKET","2025-09-24 14:24:53.500","TARGET","2025-09-24 14:25:45.100","2025-09-24 14:32:39.700","2025-09-24 14:32:39.700",3,184.3,83,-2,24841.25,24841.25,"BELOW_OR","POST_OPEN",611.5,0,611.5,611.5,0
"2025-09-24 14:26:43.200","2025-09-24","2025-09-24 10:26:43.200","LONG",24821.75,24831.75,24816.75,"MARKET","2025-09-24 14:26:44.200","TARGET",\N,"2025-09-24 14:26:54.100","2025-09-24 14:26:54.100",3,184.3,85,-2,24841.25,24841.25,"BELOW_OR","POST_OPEN",795.8,0,795.8,795.8,0
"2025-09-24 14:37:07.500","2025-09-24","2025-09-24 10:37:07.500","LONG",24820.5,24830.5,24815.5,"MARKET","2025-09-24 14:37:08.500","TARGET",\N,"2025-09-24 14:37:34.400","2025-09-24 14:37:34.400",8,159.3,429,9,24841.25,24841.25,"BELOW_OR","NORMAL",955.0999999999999,0,955.0999999999999,955.0999999999999,0
"2025-09-24 14:41:16.000","2025-09-24","2025-09-24 10:41:16.000","SHORT",24804.5,24794.5,24809.5,"MARKET","2025-09-24 14:41:17.000","TARGET",\N,"2025-09-24 14:44:33.000","2025-09-24 14:44:33.000",3,184.3,76,-23,24841.25,24841.25,"BELOW_OR","NORMAL",1139.3999999999999,0,1139.3999999999999,1139.3999999999999,0
"2025-09-24 14:45:22.000","2025-09-24","2025-09-24 10:45:22.000","SHORT",24811,24801,24816,"MARKET","2025-09-24 14:45:23.000","STOP","2025-09-24 14:54:52.000","2025-09-24 14:46:04.800","2025-09-24 14:46:04.800",4,-120.7,116,-16,24841.25,24841.25,"BELOW_OR","NORMAL",1018.6999999999998,1,1018.6999999999998,1139.3999999999999,-120.70000000000005
"2025-09-24 14:58:49.800","2025-09-24","2025-09-24 10:58:49.800","SHORT",24804.75,24794.75,24809.75,"MARKET","2025-09-24 14:58:50.800","STOP","2025-09-24 14:59:40.100",\N,"2025-09-24 15:08:50.800",3,-115.7,73,-4,24841.25,24841.25,"BELOW_OR","NORMAL",902.9999999999998,2,902.9999999999998,1139.3999999999999,-236.4000000000001
"2025-09-24 14:59:37.000","2025-09-24","2025-09-24 10:59:37.000","SHORT",24796.25,24786.25,24801.25,"MARKET","2025-09-24 14:59:38.000","TARGET",\N,"2025-09-24 15:00:45.100","2025-09-24 15:00:45.100",3,184.3,79,-18,24841.25,24841.25,"BELOW_OR","NORMAL",1087.2999999999997,0,1087.2999999999997,1139.3999999999999,-52.100000000000136
"2025-09-24 15:13:37.400","2025-09-24","2025-09-24 11:13:37.400","SHORT",24794,24784,24799,"MARKET","2025-09-24 15:13:38.400","TARGET","2025-09-24 15:14:27.900","2025-09-24 15:20:50.500","2025-09-24 15:20:50.500",3,184.3,75,-1,24841.25,24841.25,"BELOW_OR","NORMAL",1271.5999999999997,0,1271.5999999999997,1271.5999999999997,0
"2025-09-24 15:17:16.500","2025-09-24","2025-09-24 11:17:16.500","SHORT",24779.5,24769.5,24784.5,"MARKET","2025-09-24 15:17:17.500","TARGET",\N,"2025-09-24 15:17:21.600","2025-09-24 15:17:21.600",3,184.3,74,0,24841.25,24841.25,"BELOW_OR","NORMAL",1455.8999999999996,0,1455.8999999999996,1455.8999999999996,0
"2025-09-24 15:19:00.600","2025-09-24","2025-09-24 11:19:00.600","LONG",24784.5,24794.5,24779.5,"MARKET","2025-09-24 15:19:01.600","STOP","2025-09-24 15:20:02.700",\N,"2025-09-24 15:29:01.600",3,-115.7,81,28,24841.25,24841.25,"BELOW_OR","NORMAL",1340.1999999999996,1,1340.1999999999996,1455.8999999999996,-115.70000000000005
"2025-09-24 15:22:40.600","2025-09-24","2025-09-24 11:22:40.600","SHORT",24802,24792,24807,"MARKET","2025-09-24 15:22:41.600","STOP","2025-09-24 15:30:16.100","2025-09-24 15:23:08.200","2025-09-24 15:23:08.200",3,-115.7,68,-5,24841.25,24841.25,"BELOW_OR","NORMAL",1224.4999999999995,2,1224.4999999999995,1455.8999999999996,-231.4000000000001
"2025-09-24 15:27:36.400","2025-09-24","2025-09-24 11:27:36.400","SHORT",24797.25,24787.25,24802.25,"MARKET","2025-09-24 15:27:37.400","STOP","2025-09-24 15:31:28.600",\N,"2025-09-24 15:37:37.400",4,-120.7,114,-11,24841.25,24841.25,"BELOW_OR","NORMAL",1103.7999999999995,3,1103.7999999999995,1455.8999999999996,-352.10000000000014
"2025-09-24 15:37:57.700","2025-09-24","2025-09-24 11:37:57.700","LONG",24783,24793,24778,"MARKET","2025-09-24 15:37:58.700","TARGET",\N,"2025-09-24 15:38:11.200","2025-09-24 15:38:11.200",4,179.3,111,2,24841.25,24841.25,"BELOW_OR","NORMAL",1283.0999999999995,0,1283.0999999999995,1455.8999999999996,-172.80000000000018
"2025-09-24 15:38:11.200","2025-09-24","2025-09-24 11:38:11.200","SHORT",24776.75,24766.75,24781.75,"MARKET","2025-09-24 15:38:12.200","STOP","2025-09-24 15:38:59.500",\N,"2025-09-24 15:48:12.200",8,-140.7,403,-88,24841.25,24841.25,"BELOW_OR","NORMAL",1142.3999999999994,1,1142.3999999999994,1455.8999999999996,-313.5000000000002
"2025-09-24 15:39:24.100","2025-09-24","2025-09-24 11:39:24.100","LONG",24769.5,24779.5,24764.5,"MARKET","2025-09-24 15:39:25.100","TARGET",\N,"2025-09-24 15:41:38.700","2025-09-24 15:41:38.700",3,184.3,88,34,24841.25,24841.25,"BELOW_OR","NORMAL",1326.6999999999994,0,1326.6999999999994,1455.8999999999996,-129.20000000000027
"2025-09-24 15:43:03.700","2025-09-24","2025-09-24 11:43:03.700","LONG",24770.25,24780.25,24765.25,"MARKET","2025-09-24 15:43:04.700","TARGET",\N,"2025-09-24 15:43:10.400","2025-09-24 15:43:10.400",4,179.3,132,11,24841.25,24841.25,"BELOW_OR","NORMAL",1505.9999999999993,0,1505.9999999999993,1505.9999999999993,0
"2025-09-24 15:43:15.600","2025-09-24","2025-09-24 11:43:15.600","SHORT",24763.75,24753.75,24768.75,"MARKET","2025-09-24 15:43:16.600","STOP","2025-09-24 15:46:06.800","2025-09-24 15:44:40.100","2025-09-24 15:44:40.100",8,-140.7,402,-12,24841.25,24841.25,"BELOW_OR","NORMAL",1365.2999999999993,1,1365.2999999999993,1505.9999999999993,-140.70000000000005
"2025-09-24 15:55:13.100","2025-09-24","2025-09-24 11:55:13.100","LONG",24721.5,24731.5,24716.5,"MARKET","2025-09-24 15:55:14.100","TARGET",\N,"2025-09-24 15:55:31.500","2025-09-24 15:55:31.500",3,184.3,81,32,24841.25,24841.25,"BELOW_OR","NORMAL",1549.5999999999992,0,1549.5999999999992,1549.5999999999992,0
"2025-09-24 16:00:21.000","2025-09-24","2025-09-24 12:00:21.000","SHORT",24684.25,24674.25,24689.25,"MARKET","2025-09-24 16:00:22.000","STOP","2025-09-24 16:02:14.900","2025-09-24 16:01:18.700","2025-09-24 16:01:18.700",4,-120.7,111,-47,24841.25,24841.25,"BELOW_OR","NORMAL",1428.8999999999992,1,1428.8999999999992,1549.5999999999992,-120.70000000000005
"2025-09-24 16:09:33.200","2025-09-24","2025-09-24 12:09:33.200","LONG",24657.25,24667.25,24652.25,"MARKET","2025-09-24 16:09:34.200","TARGET",\N,"2025-09-24 16:09:42.400","2025-09-24 16:09:42.400",4,179.3,170,-7,24841.25,24841.25,"BELOW_OR","NORMAL",1608.1999999999991,0,1608.1999999999991,1608.1999999999991,0
"2025-09-24 16:11:38.000","2025-09-24","2025-09-24 12:11:38.000","LONG",24645.25,24655.25,24640.25,"MARKET","2025-09-24 16:11:39.000","STOP","2025-09-24 16:18:06.300","2025-09-24 16:12:02.800","2025-09-24 16:12:02.800",6,-130.7,261,-6,24841.25,24841.25,"BELOW_OR","NORMAL",1477.499999999999,1,1477.499999999999,1608.1999999999991,-130.70000000000005
"2025-09-24 16:13:52.700","2025-09-24","2025-09-24 12:13:52.700","SHORT",24650,24640,24655,"MARKET","2025-09-24 16:13:53.700","TARGET","2025-09-24 16:14:12.600","2025-09-24 16:18:06.300","2025-09-24 16:18:06.300",6,169.3,217,1,24841.25,24841.25,"BELOW_OR","NORMAL",1646.799999999999,0,1646.799999999999,1646.799999999999,0
"2025-09-24 16:14:39.200","2025-09-24","2025-09-24 12:14:39.200","SHORT",24651,24641,24656,"MARKET","2025-09-24 16:14:40.200","TARGET","2025-09-24 16:15:47.100","2025-09-24 16:18:07.500","2025-09-24 16:18:07.500",3,184.3,96,-30,24841.25,24841.25,"BELOW_OR","NORMAL",1831.099999999999,0,1831.099999999999,1831.099999999999,0
"2025-09-24 16:18:39.600","2025-09-24","2025-09-24 12:18:39.600","SHORT",24660.75,24650.75,24665.75,"MARKET","2025-09-24 16:18:40.600","TARGET",\N,"2025-09-24 16:20:06.600","2025-09-24 16:20:06.600",3,184.3,88,-5,24841.25,24841.25,"BELOW_OR","NORMAL",2015.399999999999,0,2015.399999999999,2015.399999999999,0
"2025-09-24 16:20:36.900","2025-09-24","2025-09-24 12:20:36.900","SHORT",24668.5,24658.5,24673.5,"MARKET","2025-09-24 16:20:37.900","TARGET",\N,"2025-09-24 16:21:31.400","2025-09-24 16:21:31.400",3,184.3,83,-5,24841.25,24841.25,"BELOW_OR","NORMAL",2199.699999999999,0,2199.699999999999,2199.699999999999,0
"2025-09-24 16:20:43.800","2025-09-24","2025-09-24 12:20:43.800","SHORT",24664.25,24654.25,24669.25,"MARKET","2025-09-24 16:20:44.800","TARGET",\N,"2025-09-24 16:21:07.300","2025-09-24 16:21:07.300",4,179.3,167,-36,24841.25,24841.25,"BELOW_OR","NORMAL",2378.999999999999,0,2378.999999999999,2378.999999999999,0
"2025-09-24 16:29:09.600","2025-09-24","2025-09-24 12:29:09.600","SHORT",24698.5,24688.5,24703.5,"MARKET","2025-09-24 16:29:10.600","STOP","2025-09-24 16:31:46.600",\N,"2025-09-24 16:39:10.600",6,-130.7,212,-2,24841.25,24841.25,"BELOW_OR","NORMAL",2248.2999999999993,1,2248.2999999999993,2378.999999999999,-130.69999999999982
"2025-09-24 16:30:54.400","2025-09-24","2025-09-24 12:30:54.400","SHORT",24693.25,24683.25,24698.25,"MARKET","2025-09-24 16:30:55.400","TARGET","2025-09-24 16:34:30.900","2025-09-24 16:40:05.900","2025-09-24 16:40:05.900",4,179.3,101,-9,24841.25,24841.25,"BELOW_OR","NORMAL",2427.5999999999995,0,2427.5999999999995,2427.5999999999995,0
"2025-09-24 16:56:35.400","2025-09-24","2025-09-24 12:56:35.400","SHORT",24684.75,24674.75,24689.75,"MARKET","2025-09-24 16:56:36.400","TARGET",\N,"2025-09-24 17:00:12.000","2025-09-24 17:00:12.000",4,179.3,151,-4,24841.25,24841.25,"BELOW_OR","NORMAL",2606.8999999999996,0,2606.8999999999996,2606.8999999999996,0
"2025-09-24 16:59:33.500","2025-09-24","2025-09-24 12:59:33.500","SHORT",24682,24672,24687,"MARKET","2025-09-24 16:59:34.500","TARGET",\N,"2025-09-24 17:00:06.500","2025-09-24 17:00:06.500",3,184.3,77,1,24841.25,24841.25,"BELOW_OR","NORMAL",2791.2,0,2791.2,2791.2,0
"2025-09-24 17:05:12.900","2025-09-24","2025-09-24 13:05:12.900","SHORT",24690.75,24680.75,24695.75,"MARKET","2025-09-24 17:05:13.900","TARGET",\N,"2025-09-24 17:05:35.200","2025-09-24 17:05:35.200",6,169.3,230,-4,24841.25,24841.25,"BELOW_OR","NORMAL",2960.5,0,2960.5,2960.5,0
"2025-09-24 17:14:54.200","2025-09-24","2025-09-24 13:14:54.200","LONG",24720.5,24730.5,24715.5,"MARKET","2025-09-24 17:14:55.200","TARGET",\N,"2025-09-24 17:16:11.500","2025-09-24 17:16:11.500",4,179.3,104,0,24841.25,24841.25,"BELOW_OR","NORMAL",3139.8,0,3139.8,3139.8,0
"2025-09-24 17:22:46.400","2025-09-24","2025-09-24 13:22:46.400","SHORT",24712.25,24702.25,24717.25,"MARKET","2025-09-24 17:22:47.400","TARGET",\N,"2025-09-24 17:23:28.600","2025-09-24 17:23:28.600",3,184.3,85,2,24841.25,24841.25,"BELOW_OR","NORMAL",3324.1000000000004,0,3324.1000000000004,3324.1000000000004,0
