"trade_date","entry_time","entry_et","side","entry_price","target_price","stop_price","execution_type","effective_fill_time","total_event_size","event_count_delta","slippage_ticks_rt","outcome","exit_time","net_pnl_usd","or_high","or_low","or_location","time_zone","running_daily_pnl","consecutive_losses","v6_running_daily_pnl","v6_running_daily_peak","v6_drawdown_from_peak"
"2025-09-24","2025-09-24 13:45:52.000000000","2025-09-24 09:45:52.000000000","SHORT",24826.25,24816.25,24831.25,"MARKET","2025-09-24 13:45:52.000000000",181,-11,3,"STOP","2025-09-24 13:45:58.000000000",-12.2,25140,24823.5,"INSIDE_OR","POST_OPEN",-12.2,1,-12.2,-12.2,0
"2025-09-24","2025-09-24 13:46:32.000000000","2025-09-24 09:46:32.000000000","SHORT",24835.75,24825.75,24840.75,"LIMIT","2025-09-24 13:46:32.000000000",183,-11,1,"TARGET","2025-09-24 13:47:15.000000000",18.8,25140,24823.5,"INSIDE_OR","POST_OPEN",6.600000000000001,1,6.600000000000001,6.600000000000001,0
"2025-09-24","2025-09-24 13:46:59.000000000","2025-09-24 09:46:59.000000000","SHORT",24831.25,24821.25,24836.25,"LIMIT","2025-09-24 13:46:59.000000000",183,-11,1,"TARGET","2025-09-24 13:47:15.000000000",18.8,25140,24823.5,"INSIDE_OR","POST_OPEN",25.400000000000002,1,25.400000000000002,25.400000000000002,0
"2025-09-24","2025-09-24 13:47:12.000000000","2025-09-24 09:47:12.000000000","SHORT",24832,24822,24837,"LIMIT","2025-09-24 13:47:12.000000000",185,-11,1,"TARGET","2025-09-24 13:47:15.000000000",18.8,25140,24823.5,"INSIDE_OR","POST_OPEN",44.2,1,44.2,44.2,0
"2025-09-24","2025-09-24 13:47:43.000000000","2025-09-24 09:47:43.000000000","SHORT",24825.75,24815.75,24830.75,"MARKET","2025-09-24 13:47:43.000000000",186,-16,3,"STOP","2025-09-24 13:47:58.000000000",-12.2,25140,24823.5,"INSIDE_OR","POST_OPEN",32,2,32,44.2,-12.200000000000003
"2025-09-24","2025-09-24 13:48:20.000000000","2025-09-24 09:48:20.000000000","SHORT",24825,24815,24830,"MARKET","2025-09-24 13:48:20.000000000",184,-12,3,"STOP","2025-09-24 13:48:38.000000000",-12.2,25140,24823.5,"INSIDE_OR","POST_OPEN",19.8,3,19.8,44.2,-24.400000000000002
"2025-09-24","2025-09-24 13:48:35.000000000","2025-09-24 09:48:35.000000000","SHORT",24824.75,24814.75,24829.75,"LIMIT","2025-09-24 13:48:35.000000000",183,-11,1,"STOP","2025-09-24 13:48:38.000000000",-11.2,25140,24823.5,"INSIDE_OR","POST_OPEN",8.600000000000001,4,8.600000000000001,44.2,-35.6
"2025-09-24","2025-09-24 13:48:58.000000000","2025-09-24 09:48:58.000000000","SHORT",24823.75,24813.75,24828.75,"LIMIT","2025-09-24 13:48:58.000000000",186,-12,1,"STOP","2025-09-24 13:49:06.000000000",-11.2,25140,24823.5,"INSIDE_OR","POST_OPEN",-2.599999999999998,5,-2.599999999999998,44.2,-46.8
"2025-09-24","2025-09-24 13:54:37.000000000","2025-09-24 09:54:37.000000000","LONG",24810,24820,24805,"LIMIT","2025-09-24 13:54:37.000000000",179,11,1,"TARGET","2025-09-24 13:54:41.000000000",18.8,25140,24823.5,"BELOW_OR","POST_OPEN",16.200000000000003,5,16.200000000000003,44.2,-28
"2025-09-24","2025-09-24 13:55:17.000000000","2025-09-24 09:55:17.000000000","LONG",24811,24821,24806,"MARKET","2025-09-24 13:55:17.000000000",180,16,3,"TARGET","2025-09-24 13:55:25.000000000",17.8,25140,24823.5,"BELOW_OR","POST_OPEN",34,5,34,44.2,-10.200000000000003
"2025-09-24","2025-09-24 13:55:47.000000000","2025-09-24 09:55:47.000000000","LONG",24813,24823,24808,"LIMIT","2025-09-24 13:55:47.000000000",182,12,1,"TARGET","2025-09-24 13:55:49.000000000",18.8,25140,24823.5,"BELOW_OR","POST_OPEN",52.8,5,52.8,52.8,0
"2025-09-24","2025-09-24 14:45:13.000000000","2025-09-24 10:45:13.000000000","LONG",24813.25,24823.25,24808.25,"LIMIT","2025-09-24 14:45:13.000000000",162,12,1,"TARGET","2025-09-24 14:47:48.000000000",18.8,25140,24823.5,"BELOW_OR","NORMAL",71.6,5,71.6,71.6,0
"2025-09-24","2025-09-24 14:51:44.000000000","2025-09-24 10:51:44.000000000","SHORT",24824.5,24814.5,24829.5,"MARKET","2025-09-24 14:51:44.000000000",181,-13,3,"STOP","2025-09-24 14:52:07.000000000",-12.2,25140,24823.5,"INSIDE_OR","NORMAL",59.39999999999999,6,59.39999999999999,71.6,-12.200000000000003
"2025-09-24","2025-09-24 14:58:24.000000000","2025-09-24 10:58:24.000000000","LONG",24801,24811,24796,"MARKET","2025-09-24 14:58:24.000000000",173,11,3,"TARGET","2025-09-24 14:59:14.000000000",17.8,25140,24823.5,"BELOW_OR","NORMAL",77.19999999999999,6,77.19999999999999,77.19999999999999,0
"2025-09-24","2025-09-24 18:45:15.000000000","2025-09-24 14:45:15.000000000","LONG",24721.25,24731.25,24716.25,"LIMIT","2025-09-24 18:45:15.000000000",164,12,1,"TARGET","2025-09-24 18:45:45.000000000",18.8,25140,24823.5,"BELOW_OR","NORMAL",95.99999999999999,6,95.99999999999999,95.99999999999999,0
"2025-09-24","2025-09-24 18:46:28.000000000","2025-09-24 14:46:28.000000000","LONG",24726.25,24736.25,24721.25,"LIMIT","2025-09-24 18:46:28.000000000",161,11,1,"STOP","2025-09-24 18:46:39.000000000",-11.2,25140,24823.5,"BELOW_OR","NORMAL",84.79999999999998,7,84.79999999999998,95.99999999999999,-11.200000000000003
"2025-09-24","2025-09-24 18:46:38.000000000","2025-09-24 14:46:38.000000000","LONG",24725.5,24735.5,24720.5,"LIMIT","2025-09-24 18:46:38.000000000",163,11,1,"STOP","2025-09-24 18:46:39.000000000",-11.2,25140,24823.5,"BELOW_OR","NORMAL",73.59999999999998,8,73.59999999999998,95.99999999999999,-22.400000000000006
"2025-09-24","2025-09-24 18:46:49.000000000","2025-09-24 14:46:49.000000000","LONG",24723.75,24733.75,24718.75,"MARKET","2025-09-24 18:46:49.000000000",163,11,3,"STOP","2025-09-24 18:47:43.000000000",-12.2,25140,24823.5,"BELOW_OR","NORMAL",61.39999999999998,9,61.39999999999998,95.99999999999999,-34.60000000000001
"2025-09-24","2025-09-24 18:53:33.000000000","2025-09-24 14:53:33.000000000","LONG",24732.5,24742.5,24727.5,"LIMIT","2025-09-24 18:53:33.000000000",157,11,1,"TARGET","2025-09-24 18:53:39.000000000",18.8,25140,24823.5,"BELOW_OR","NORMAL",80.19999999999997,9,80.19999999999997,95.99999999999999,-15.800000000000011
"2025-09-24","2025-09-24 18:54:12.000000000","2025-09-24 14:54:12.000000000","LONG",24734,24744,24729,"LIMIT","2025-09-24 18:54:12.000000000",157,11,1,"TARGET","2025-09-24 18:54:58.000000000",18.8,25140,24823.5,"BELOW_OR","NORMAL",98.99999999999997,9,98.99999999999997,98.99999999999997,0
"2025-09-24","2025-09-24 18:57:22.000000000","2025-09-24 14:57:22.000000000","LONG",24739.75,24749.75,24734.75,"LIMIT","2025-09-24 18:57:22.000000000",160,12,1,"STOP","2025-09-24 18:57:36.000000000",-11.2,25140,24823.5,"BELOW_OR","NORMAL",87.79999999999997,10,87.79999999999997,98.99999999999997,-11.200000000000003
"2025-09-25","2025-09-25 13:45:01.000000000","2025-09-25 09:45:01.000000000","SHORT",24425,24415,24430,"MARKET","2025-09-25 13:45:01.000000000",190,-12,3,"STOP","2025-09-25 13:45:02.000000000",-12.2,25010,24422,"INSIDE_OR","POST_OPEN",-12.2,1,75.59999999999997,98.99999999999997,-23.400000000000006
"2025-09-25","2025-09-25 13:46:25.000000000","2025-09-25 09:46:25.000000000","SHORT",24441.75,24431.75,24446.75,"MARKET","2025-09-25 13:46:25.000000000",188,-12,3,"STOP","2025-09-25 13:46:29.000000000",-12.2,25010,24422,"INSIDE_OR","POST_OPEN",-24.4,2,63.39999999999996,98.99999999999997,-35.60000000000001
"2025-09-25","2025-09-25 13:48:05.000000000","2025-09-25 09:48:05.000000000","LONG",24467.5,24477.5,24462.5,"MARKET","2025-09-25 13:48:05.000000000",186,12,3,"TARGET","2025-09-25 13:48:23.000000000",17.8,25010,24422,"INSIDE_OR","POST_OPEN",-6.599999999999998,2,81.19999999999996,98.99999999999997,-17.80000000000001
