"trade_date","entry_time","entry_et","side","entry_price","target_price","stop_price","execution_type","effective_fill_time","total_event_size","event_count_delta","slippage_ticks_rt","outcome","exit_time","net_pnl_usd","or_high","or_low","or_location","time_zone","running_daily_pnl","consecutive_losses","v6_2_running_pnl","v6_2_running_peak","v6_2_drawdown_from_peak"
"2025-09-24","2025-09-24 13:52:38.800","2025-09-24 09:52:38.800","SHORT",24796.75,24786.75,24801.75,"LIMIT","2025-09-24 13:52:38.800",83,-7,3,"STOP","2025-09-24 13:52:50.400",-115.7,24892.5,24826.25,"BELOW_OR","POST_OPEN",-115.7,1,-115.7,-115.7,0
"2025-09-24","2025-09-24 13:54:53.700","2025-09-24 09:54:53.700","SHORT",24801.75,24791.75,24806.75,"LIMIT","2025-09-24 13:54:53.700",100,2,3,"STOP","2025-09-24 13:55:14.100",-115.7,24892.5,24826.25,"BELOW_OR","POST_OPEN",-231.4,2,-231.4,-115.7,-115.7
"2025-09-24","2025-09-24 14:59:37.000","2025-09-24 10:59:37.000","SHORT",24796.25,24786.25,24801.25,"LIMIT","2025-09-24 14:59:37.000",80,-19,3,"STOP","2025-09-24 15:00:47.300",-115.7,24892.5,24826.25,"BELOW_OR","NORMAL",-347.1,3,-347.1,-115.7,-231.40000000000003
"2025-09-24","2025-09-24 17:48:55.800","2025-09-24 13:48:55.800","LONG",24706,24716,24701,"LIMIT","2025-09-24 17:48:55.800",81,5,3,"TARGET","2025-09-24 17:52:12.600",184.3,24892.5,24826.25,"BELOW_OR","NORMAL",-162.8,3,-162.8,-115.7,-47.10000000000001
"2025-09-24","2025-09-24 18:53:50.500","2025-09-24 14:53:50.500","LONG",24738,24748,24733,"LIMIT","2025-09-24 18:53:50.500",121,17,4,"STOP","2025-09-24 18:54:04.800",-120.7,24892.5,24826.25,"BELOW_OR","NORMAL",-283.5,4,-283.5,-115.7,-167.8
"2025-09-24","2025-09-24 18:57:24.300","2025-09-24 14:57:24.300","SHORT",24738,24728,24743,"LIMIT","2025-09-24 18:57:24.300",216,6,6,"STOP","2025-09-24 18:59:35.500",-130.7,24892.5,24826.25,"BELOW_OR","NORMAL",-414.2,5,-414.2,-115.7,-298.5
"2025-09-25","2025-09-25 14:52:21.100","2025-09-25 10:52:21.100","LONG",24628,24638,24623,"LIMIT","2025-09-25 14:52:21.100",217,6,6,"STOP","2025-09-25 14:52:30.200",-130.7,24557,24423.75,"ABOVE_OR","NORMAL",-130.7,1,-544.9,-115.7,-429.2
"2025-09-25","2025-09-25 17:50:36.700","2025-09-25 13:50:36.700","SHORT",24546.25,24536.25,24551.25,"LIMIT","2025-09-25 17:50:36.700",109,-1,4,"STOP","2025-09-25 17:50:55.200",-120.7,24557,24423.75,"INSIDE_OR","NORMAL",-251.39999999999998,2,-665.6,-115.7,-549.9
"2025-09-25","2025-09-25 17:54:05.500","2025-09-25 13:54:05.500","LONG",24548,24558,24543,"LIMIT","2025-09-25 17:54:05.500",69,7,3,"TARGET","2025-09-25 17:54:15.300",184.3,24557,24423.75,"INSIDE_OR","NORMAL",-67.09999999999997,2,-481.3,-115.7,-365.6
"2025-09-25","2025-09-25 17:54:58.300","2025-09-25 13:54:58.300","SHORT",24552.25,24542.25,24557.25,"LIMIT","2025-09-25 17:54:58.300",183,-5,4,"TARGET","2025-09-25 17:56:03.400",179.3,24557,24423.75,"INSIDE_OR","NORMAL",112.20000000000005,2,-302,-115.7,-186.3
"2025-09-25","2025-09-25 18:47:46.300","2025-09-25 14:47:46.300","SHORT",24598.75,24588.75,24603.75,"LIMIT","2025-09-25 18:47:46.300",115,-7,4,"STOP","2025-09-25 18:48:28.600",-120.7,24557,24423.75,"ABOVE_OR","NORMAL",-8.499999999999957,3,-422.7,-115.7,-307
"2025-09-25","2025-09-25 18:51:18.400","2025-09-25 14:51:18.400","LONG",24617.25,24627.25,24612.25,"LIMIT","2025-09-25 18:51:18.400",116,0,4,"STOP","2025-09-25 18:52:07.300",-120.7,24557,24423.75,"ABOVE_OR","NORMAL",-129.19999999999996,4,-543.4,-115.7,-427.7
"2025-09-25","2025-09-25 18:53:14.700","2025-09-25 14:53:14.700","LONG",24620,24630,24615,"LIMIT","2025-09-25 18:53:14.700",85,16,3,"TARGET","2025-09-25 18:54:22.100",184.3,24557,24423.75,"ABOVE_OR","NORMAL",55.10000000000005,4,-359.09999999999997,-115.7,-243.39999999999998
"2025-09-26","2025-09-26 13:49:20.700","2025-09-26 09:49:20.700","LONG",24704,24714,24699,"LIMIT","2025-09-26 13:49:20.700",104,23,4,"STOP","2025-09-26 13:49:56.800",-120.7,24710.5,24626.5,"INSIDE_OR","POST_OPEN",-120.7,1,-479.79999999999995,-115.7,-364.09999999999997
"2025-09-26","2025-09-26 13:58:39.300","2025-09-26 09:58:39.300","LONG",24702.5,24712.5,24697.5,"LIMIT","2025-09-26 13:58:39.300",118,91,4,"TARGET","2025-09-26 14:00:06.700",179.3,24710.5,24626.5,"INSIDE_OR","POST_OPEN",58.60000000000001,1,-300.49999999999994,-115.7,-184.79999999999995
"2025-09-26","2025-09-26 14:52:37.300","2025-09-26 10:52:37.300","SHORT",24579,24569,24584,"LIMIT","2025-09-26 14:52:37.300",77,-16,3,"STOP","2025-09-26 14:53:22.200",-115.7,24710.5,24626.5,"BELOW_OR","NORMAL",-57.099999999999994,2,-416.19999999999993,-115.7,-300.49999999999994
"2025-09-26","2025-09-26 14:54:53.100","2025-09-26 10:54:53.100","SHORT",24583.25,24573.25,24588.25,"LIMIT","2025-09-26 14:54:53.100",68,-2,3,"STOP","2025-09-26 14:55:06.500",-115.7,24710.5,24626.5,"BELOW_OR","NORMAL",-172.8,3,-531.9,-115.7,-416.2
"2025-09-26","2025-09-26 17:50:39.200","2025-09-26 13:50:39.200","LONG",24687.5,24697.5,24682.5,"LIMIT","2025-09-26 17:50:39.200",106,4,4,"TARGET","2025-09-26 17:53:12.100",179.3,24710.5,24626.5,"INSIDE_OR","NORMAL",6.5,3,-352.59999999999997,-115.7,-236.89999999999998
"2025-09-26","2025-09-26 18:45:00.800","2025-09-26 14:45:00.800","SHORT",24723.75,24713.75,24728.75,"LIMIT","2025-09-26 18:45:00.800",142,-11,4,"STOP","2025-09-26 18:45:58.600",-120.7,24710.5,24626.5,"ABOVE_OR","NORMAL",-114.2,4,-473.29999999999995,-115.7,-357.59999999999997
"2025-09-26","2025-09-26 18:47:51.300","2025-09-26 14:47:51.300","LONG",24719.75,24729.75,24714.75,"LIMIT","2025-09-26 18:47:51.300",94,8,3,"TARGET","2025-09-26 18:48:32.200",184.3,24710.5,24626.5,"ABOVE_OR","NORMAL",70.10000000000001,4,-288.99999999999994,-115.7,-173.29999999999995
