Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Sell,1,25537.00,4/13/2026 2:58:25 PM,0727a72da8124f3482620c7387a707e6,Exit,-,68966d62e5ae44d0bfea414358444126,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25542.00,4/13/2026 2:58:22 PM,fe87a63d050747fe9161a6adadee7546,Entry,1 L,f3f0c339137449879e1ea866a8bbac49,ABSORPTION_164735,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25526.25,4/13/2026 2:54:17 PM,bee56a352f564305ae44c2931ed5a55a,Exit,-,f1505ae43b324a4995d535e278ccec46,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25518.25,4/13/2026 2:53:49 PM,c045bfbbda9345c2b85714377f2c5ed7,Entry,1 L,81faad278a2a435eae000c7a8f0b5d0f,ABSORPTION_164732,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25471.25,4/13/2026 2:49:39 PM,479d9df93b2046679ba23bb25083105a,Exit,-,e7c627baffee4a20a05a3f8e75232ef0,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25463.25,4/13/2026 2:48:25 PM,9b4569b8d2b2449680ec27ca2c049531,Entry,1 L,8fe7b0d12931435c82f9536909988a69,ABSORPTION_164729,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25469.25,4/13/2026 2:38:03 PM,86594d3b6d844952a24384b21c87912d,Exit,-,cddc712b510e4014a4197c3879904a33,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25474.25,4/13/2026 2:38:01 PM,806e3202f86240b78b68e0b784a94bed,Entry,1 L,6701b29c46174c998e71c140ecdcab9b,ABSORPTION_164725,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25471.50,4/13/2026 2:35:05 PM,67d112d210734db7938e5135bc059be3,Exit,-,3f78e2b1daf74695963b318d16f071b0,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25476.50,4/13/2026 2:33:02 PM,2b4985941e244a54aa26110d65d691f8,Entry,1 L,cdeb49f9e7344e0483d4fafc09540cf4,ABSORPTION_164722,$0.00,1,Playback101,Playback,
