Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Sell,1,25997.00,4/14/2026 2:59:02 PM,3faa1ddb1e244aa891e09eeab68d0bb0,Exit,-,c5e8c084c52a47258f9661f3de6c37fc,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25989.00,4/14/2026 2:58:32 PM,f6a41cedb1f14a84805ca32a3275b8b4,Entry,1 L,00cdda74603541148fac1082423c367f,ABSORPTION_153916,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25959.50,4/14/2026 2:54:05 PM,814f35c4237348b69ff8bddd9baf82dc,Exit,-,482947500d304792b9a388da6df0dd89,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25967.50,4/14/2026 2:52:25 PM,4302581fb214437986121e34de44699e,Entry,1 S,7995884bd98842399bb9cae5b805d433,ABSORPTION_153913,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25977.00,4/14/2026 2:45:09 PM,e30d8f38d39648288948ed70c5d0cacc,Exit,-,3a0fbd3d84234c3d8a5ff04891ad649c,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25972.00,4/14/2026 2:45:04 PM,42dc22a0f1c64b869c0666dd45fa56a5,Entry,1 S,2e5e1e0c9d504674848a0874337a4439,ABSORPTION_153910,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25982.75,4/14/2026 2:38:45 PM,1a306338e45b4ada862ae9572ef2fdf3,Exit,-,f559289464da4a9b949c08d0948b4979,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25974.75,4/14/2026 2:37:02 PM,d774850b0f6c4f64adb14737ed535060,Entry,1 L,691fe086d41b4e15bd7e66eb72cec5d5,ABSORPTION_153906,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25980.75,4/14/2026 2:30:55 PM,7936e650fced4a719bdfb7e9950d1870,Exit,-,d3034693e8a4453babe59f49ea7e4110,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25985.75,4/14/2026 2:28:41 PM,c5319e8ed5f64ae584d5ed4caeb94be0,Entry,1 L,4682fe466980428fb88e60aec3161a54,ABSORPTION_153902,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25988.25,4/14/2026 2:25:38 PM,56cd02a479394cbd8c75baec4008f6e4,Exit,-,49d888c0ea4f48d49a71d7fa77817610,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25980.25,4/14/2026 2:21:21 PM,c25f9d2194034b309dd3073a526bbbdf,Entry,1 L,5b781a587baf4344bf81c1d53ce33c82,ABSORPTION_153859,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25960.75,4/14/2026 2:13:42 PM,11444924411c4993b173fcfc0652465f,Exit,-,c7a24fa40c9a4f05af993a03423ac9c7,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25965.75,4/14/2026 2:12:28 PM,0f1da3fe3f5a43108facaa425d3a25b1,Entry,1 L,7aac1ef739404786b741d8b8db5a4e0d,ABSORPTION_153856,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25947.50,4/14/2026 2:05:43 PM,84837ff054bc4e7fa75fffd8e0253606,Exit,-,8c6c958531204b8cbe21a5d9d77ad876,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25939.50,4/14/2026 2:04:42 PM,b966edeae7174cba92902487cc9d13ed,Entry,1 L,115cefc94c5444608d7233e2b2ea3391,ABSORPTION_153853,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25917.00,4/14/2026 1:59:26 PM,c945c551529647adae51f3777c2f2673,Exit,-,dca141727bda4c099310a0b91c1cabe8,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25911.75,4/14/2026 1:58:00 PM,d338a2d211214441987a94a8280dbd08,Entry,1 S,bea27766f53e45cdbc0e1572b9442b3e,ABSORPTION_153850,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25908.25,4/14/2026 1:48:51 PM,40d95ade22814b7d8471aac6f259f7e7,Exit,-,4f9239f67fc547659f39da15a06b174c,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25903.25,4/14/2026 1:48:25 PM,2261468e6bf848ffb9a50d5e3f353401,Entry,1 S,4e8c0ab523d74c639644a23be1c5bf95,ABSORPTION_153847,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25924.00,4/14/2026 1:38:56 PM,26fb4c7411e747e98e76da331ee90373,Exit,-,f2c429ed1a684bad860cdef8c036a611,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25929.00,4/14/2026 1:38:04 PM,da3f4d9ac2544a2f95a7c413a287107c,Entry,1 L,b23b91774d40460a9595a503494a1d9f,ABSORPTION_153843,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25914.00,4/14/2026 1:30:22 PM,7150b1260cac457495431229bbabcb62,Exit,-,176d5740d77241eb98e1638eb5578fc2,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25909.00,4/14/2026 1:29:07 PM,0d38969da5d84ea3a687c332070882e0,Entry,1 S,07a5cebb5e4c4ae5a9ef65d5f7201e42,ABSORPTION_153839,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25903.00,4/14/2026 1:21:54 PM,1e996354bbb34d66a9b97c44d2469ab9,Exit,-,6e65753651b540e6b8c174b660bb9464,Stop loss,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25898.00,4/14/2026 1:21:51 PM,c73dd72cdb1d4194b2c5b2c97ec6f893,Entry,1 S,42f453e37710417faac4f85fca68ce29,ABSORPTION_153835,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25920.50,4/14/2026 1:19:22 PM,d27c03fd351e452fbd06a00534c8656a,Exit,-,d66a4122eb63451ca8bc9498d946d056,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25928.50,4/14/2026 1:17:44 PM,cf95274c0ec1439f9cc7158e9dea9c62,Entry,1 S,50f2165d6b78446c90eb9b0405f1cf4a,ABSORPTION_153832,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,25938.50,4/14/2026 1:14:26 PM,218f2968a55042d1b0a9da9831004852,Exit,-,fb8c2d7dfdc4483ab56697d21c8dda0b,Profit target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25946.50,4/14/2026 1:10:14 PM,96826cacd344488cbfc66fc142450ff1,Entry,1 S,916484994f534379b97bcab6ca5eac4a,ABSORPTION_153828,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,25953.75,4/14/2026 1:06:29 PM,e08db2ad433f43aa94ef5d2c876d9a0f,Exit,-,a158719d77e94b20bc6826436fbc2189,Stop loss,$0.00,1,Playback101,Playback,
