NinjaScript File,Error,Code,Line,Column,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,'else' cannot start a statement.,CS8641,1083,35,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,Syntax error '(' expected,CS1003,1083,35,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,Invalid expression term 'else',CS1525,1083,35,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,) expected,CS1026,1083,35,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,Invalid expression term 'else',CS1525,1083,35,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,; expected,CS1002,1083,35,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,A get or set accessor expected,CS1014,1471,4,
CGScalpingStrategyNT8Native_v4_2_Hybrid.cs,A get or set accessor expected,CS1014,1471,49,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,The namespace 'NinjaTrader.NinjaScript.Strategies' already contains a definition for 'CGScalpingStrategyNT8Native_v4_1_ShortGate',CS0101,32,15,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,The namespace 'NinjaTrader.NinjaScript.Strategies' already contains a definition for 'CGScalpingStrategyNT8Native_v4_1_ShortGate',CS0101,32,15,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnStateChange' with the same parameter types,CS0111,220,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnStateChange' with the same parameter types,CS0111,220,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnBarUpdate' with the same parameter types,CS0111,340,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnBarUpdate' with the same parameter types,CS0111,340,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnMarketData' with the same parameter types,CS0111,369,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnMarketData' with the same parameter types,CS0111,369,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnMarketDepth' with the same parameter types,CS0111,421,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_FIXED.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'OnMarketDepth' with the same parameter types,CS0111,421,27,
CGScalpingStrategyNT8Native_v4_1_ShortGate_BACKUP.cs,Type 'CGScalpingStrategyNT8Native_v4_1_ShortGate' already defines a member called 'CheckForSignals' with the same parameter types,CS0111,454,16,
