NinjaScript File,Error,Code,Line,Column,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,The namespace 'NinjaTrader.NinjaScript.AddOns' already contains a definition for 'CG_NT8_AutoDeployer_AddOn_v0_1',CS0101,45,18,
CG_MNQ_DeployShell_v1_11.cs,The namespace 'NinjaTrader.NinjaScript.Strategies' already contains a definition for 'CG_MNQ_DeployShell_v1_11',CS0101,37,18,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'OnStateChange' with the same parameter types,CS0111,58,33,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'InitializePaths' with the same parameter types,CS0111,85,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'StartWatcher' with the same parameter types,CS0111,106,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'StopWatcher' with the same parameter types,CS0111,122,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'OnInboundFile' with the same parameter types,CS0111,139,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'ProcessInboundFile' with the same parameter types,CS0111,149,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'IsFileReady' with the same parameter types,CS0111,180,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'InstallStrategyFile' with the same parameter types,CS0111,193,22,
20260509_103333_CG_NT8_AutoDeployer_AddOn_v0_1.cs,Type 'CG_NT8_AutoDeployer_AddOn_v0_1' already defines a member called 'InstallConfigFile' with the same parameter types,CS0111,218,22,
