filter,total_trades,winners,losers,win_rate,total_pnl,avg_win,avg_loss,gross_profit,gross_loss,profit_factor,expectancy
Current System,140,59,81,42.142857142857146,261.0,32.0,-20.08641975308642,1888.0,1627.0,1.160417947141979,1.8642857142857143
LONG trades,107,52,55,48.598130841121495,558.0,32.0,-20.10909090909091,1664.0,1106.0,1.5045207956600362,5.214953271028038
SHORT trades,33,7,26,21.21212121212121,-297.0,32.0,-20.03846153846154,224.0,521.0,0.42994241842610365,-9.0
MTF Filtered (sim 1),47,32,15,68.08510638297872,723.0,32.0,-20.066666666666666,1024.0,301.0,3.4019933554817277,15.382978723404255
MTF Filtered (sim 2),53,37,16,69.81132075471697,863.0,32.0,-20.0625,1184.0,321.0,3.688473520249221,16.28301886792453
MTF Filtered (sim 3),54,39,15,72.22222222222221,948.0,32.0,-20.0,1248.0,300.0,4.16,17.555555555555557
MTF Filtered (sim 4),56,42,14,75.0,1064.0,32.0,-20.0,1344.0,280.0,4.8,19.0
MTF Filtered (sim 5),47,32,15,68.08510638297872,721.0,32.0,-20.2,1024.0,303.0,3.3795379537953796,15.340425531914894
MTF Filtered (sim 6),51,41,10,80.3921568627451,1112.0,32.0,-20.0,1312.0,200.0,6.56,21.80392156862745
MTF Filtered (sim 7),59,44,15,74.57627118644068,1107.0,32.0,-20.066666666666666,1408.0,301.0,4.677740863787376,18.76271186440678
MTF Filtered (sim 8),50,40,10,80.0,1079.0,32.0,-20.1,1280.0,201.0,6.3681592039801,21.58
MTF Filtered (sim 9),55,40,15,72.72727272727273,977.0,32.0,-20.2,1280.0,303.0,4.224422442244224,17.763636363636362
MTF Filtered (sim 10),53,35,18,66.0377358490566,757.0,32.0,-20.166666666666668,1120.0,363.0,3.0853994490358128,14.283018867924529
