Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account display name,Connection,
MNQ JUN26,Sell,1,28932.00,5/12/2026 8:39:11 AM,f4cbff2f27ab4413a93ca5d632f3e043,Exit,-,3c01de840b5746f9af4348a725567f9c,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28937.00,5/12/2026 8:38:56 AM,4d6c2f5fb72e4ad2bc2448294e568b43,Entry,1 L,9d7eba55d5c2453d896146386f02c5fd,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28917.75,5/12/2026 8:34:54 AM,a53b31da239443edbef78227234fbae6,Exit,-,494eb0e3ba114c7c9412754c850d6411,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28922.75,5/12/2026 8:34:46 AM,9166d5fb6d7949f693a77d431c6ec75f,Entry,1 L,036fa9c9754a4dbb90b4f70a151b9f35,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28882.25,5/12/2026 8:30:40 AM,17219b18cc7f43948f933780d465478b,Exit,-,4d4e1844341745268f647bc41c35563a,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28876.25,5/12/2026 8:30:34 AM,3ea40ab9ad36438cb72c274ce1d2a619,Entry,1 S,8f48a87bea3544bab27ad1a0efccf4b7,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28863.75,5/12/2026 8:26:03 AM,4a7a2cd1ca4c4e4989733f60b0b26a93,Exit,-,4dc880806cfa4bf3a62f8167ca91187e,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28868.75,5/12/2026 8:25:59 AM,9d65f51021674a8ab348499ae62e1c4f,Entry,1 L,62cbc34e75454684ac94455b34536844,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28890.50,5/12/2026 8:23:57 AM,71ea950ade3d4ccfbced3a8b444af534,Exit,-,92c3693c5588497d891b06aac540204f,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28900.50,5/12/2026 8:23:41 AM,a14aedcc248a481d823752079a22420c,Entry,1 S,a03e4a755cd14f8380018130984eb53e,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28930.25,5/12/2026 8:19:33 AM,27df62e6c2984f75b52a75d0931c0b30,Exit,-,44f8668aa2654e41947052844406daae,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28935.25,5/12/2026 8:19:29 AM,d5c2a9065fae440f888f214e09b7aac5,Entry,1 L,debc443937534560b7535296ab52174c,OFI_Long,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28922.75,5/12/2026 8:17:03 AM,d49c5e3c988a47c4beaca4d48dddd230,Exit,-,a8a01478639d4e5c9f1fc24b0f2bad84,OFI_Target,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28932.75,5/12/2026 8:16:58 AM,a8d482fc10c94b8999fb31c5f014f2d7,Entry,1 S,15bb195024c64b9f8c0cbf0240f6271e,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28990.75,5/12/2026 8:12:52 AM,20498260372d4d0794dfe76bdc35885c,Exit,-,d474566802b14f4f80200d0973ef74ce,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28985.50,5/12/2026 8:12:47 AM,f7217ce9002b438b81445cdaded31484,Entry,1 S,00bb4c91b272422ca1899116f0d5b534,OFI_Short,$0.00,1,Playback101,Playback,
MNQ JUN26,Buy,1,28998.25,5/12/2026 8:08:37 AM,8424de69b45b42ff8f071e588d8493f0,Exit,-,7d017f6568f64b069d40e5a2712259aa,OFI_Stop,$0.00,1,Playback101,Playback,
MNQ JUN26,Sell,1,28993.25,5/12/2026 8:08:27 AM,1867c90cd9ca46928197df6d60eef59c,Entry,1 S,b900e17524ff4eb399c5ba561119ce30,OFI_Short,$0.00,1,Playback101,Playback,
