trade_date,signal_time,entry_time,exit_time,side,entry_price,exit_price,outcome,gross_ticks,net_usd,hold_seconds
2025-09-23,2025-09-23T13:08:00+00:00,2025-09-23T13:09:00+00:00,2025-09-23T09:10:59.980782+00:00,SHORT,25005.75,25006.25,TIMEOUT,-2.0,-1.7,-14280.019
2025-09-23,2025-09-23T13:14:00+00:00,2025-09-23T13:15:00+00:00,2025-09-23T09:16:59.610761+00:00,SHORT,25008.5,25008.5,TIMEOUT,0.0,-0.7,-14280.389
2025-09-23,2025-09-23T13:30:00+00:00,2025-09-23T13:31:00+00:00,2025-09-23T09:32:59.116006+00:00,SHORT,25001.5,25003.5,TIMEOUT,-8.0,-4.7,-14280.884
2025-09-23,2025-09-23T13:35:00+00:00,2025-09-23T13:36:00+00:00,2025-09-23T09:37:34.407533+00:00,SHORT,25006.5,25011.0,STOP,-18.0,-9.7,-14305.592
2025-09-23,2025-09-23T13:36:00+00:00,2025-09-23T13:37:00+00:00,2025-09-23T09:37:34.429218+00:00,SHORT,25007.0,25011.5,STOP,-18.0,-9.7,-14365.571
2025-09-23,2025-09-23T13:37:00+00:00,2025-09-23T13:38:00+00:00,2025-09-23T09:39:51.125194+00:00,SHORT,25006.5,25011.0,STOP,-18.0,-9.7,-14288.875
2025-09-23,2025-09-23T13:40:00+00:00,2025-09-23T13:41:00+00:00,2025-09-23T09:42:59.900102+00:00,SHORT,25010.5,25010.5,TIMEOUT,0.0,-0.7,-14280.1
2025-09-23,2025-09-23T13:41:00+00:00,2025-09-23T13:42:00+00:00,2025-09-23T09:43:59.749077+00:00,SHORT,25009.0,25010.75,TIMEOUT,-7.0,-4.2,-14280.251
2025-09-23,2025-09-23T13:55:00+00:00,2025-09-23T13:56:00+00:00,2025-09-23T09:57:58.302677+00:00,SHORT,25010.75,25011.75,TIMEOUT,-4.0,-2.7,-14281.697
2025-09-23,2025-09-23T13:58:00+00:00,2025-09-23T13:59:00+00:00,2025-09-23T09:59:48.583022+00:00,SHORT,25009.5,25014.0,STOP,-18.0,-9.7,-14351.417
