"trade_date","signal_time","entry_time","signal_side","structure_state","raw_entry_price","entry_price","target_ticks","stop_ticks","timeout_seconds","range_pts","candle_efficiency"
"2025-09-23","2025-09-23 09:08:00","2025-09-23 09:09:00","SHORT","STRUCT_DOWN",25004,25003,80,16,120,5,0.5
"2025-09-23","2025-09-23 09:14:00","2025-09-23 09:15:00","SHORT","STRUCT_DOWN",25000.25,24999.25,80,16,120,4,0.8125
"2025-09-23","2025-09-23 09:30:00","2025-09-23 09:31:00","SHORT","STRUCT_DOWN",24995,24994,80,16,120,15,0.4
"2025-09-23","2025-09-23 09:35:00","2025-09-23 09:36:00","SHORT","STRUCT_DOWN",24983.25,24982.25,80,16,120,15.5,0.5483870967741935
"2025-09-23","2025-09-23 09:36:00","2025-09-23 09:37:00","SHORT","STRUCT_DOWN",24980,24979,80,16,120,16,0.203125
"2025-09-23","2025-09-23 09:37:00","2025-09-23 09:38:00","SHORT","STRUCT_DOWN",24971.25,24970.25,80,16,120,14.75,0.5932203389830508
"2025-09-23","2025-09-23 09:40:00","2025-09-23 09:41:00","SHORT","STRUCT_DOWN",24964.25,24963.25,80,16,120,22,0.7159090909090909
"2025-09-23","2025-09-23 09:41:00","2025-09-23 09:42:00","SHORT","STRUCT_DOWN",24949.75,24948.75,80,16,120,19.5,0.7564102564102564
"2025-09-23","2025-09-23 09:55:00","2025-09-23 09:56:00","SHORT","STRUCT_DOWN",24945,24944,80,16,120,10.75,0.32558139534883723
"2025-09-23","2025-09-23 09:58:00","2025-09-23 09:59:00","SHORT","STRUCT_DOWN",24941.75,24940.75,80,16,120,13.75,0.07272727272727272
"2025-09-23","2025-09-23 10:21:00","2025-09-23 10:22:00","SHORT","STRUCT_DOWN",24949,24948,80,16,120,9.75,0.28205128205128205
"2025-09-23","2025-09-23 10:22:00","2025-09-23 10:23:00","SHORT","STRUCT_DOWN",24945.5,24944.5,80,16,120,13.75,0.23636363636363636
"2025-09-23","2025-09-23 10:24:00","2025-09-23 10:25:00","SHORT","STRUCT_DOWN",24936,24935,80,16,120,13.5,0.7222222222222222
"2025-09-23","2025-09-23 10:46:00","2025-09-23 10:47:00","SHORT","STRUCT_DOWN",24946,24945,80,16,120,8,0.46875
"2025-09-23","2025-09-23 11:10:00","2025-09-23 11:11:00","LONG","STRUCT_UP",24950,24951,80,16,120,5.75,0.34782608695652173
"2025-09-23","2025-09-23 11:12:00","2025-09-23 11:13:00","LONG","STRUCT_UP",24961,24962,80,16,120,10.25,0.8292682926829268
"2025-09-23","2025-09-23 11:13:00","2025-09-23 11:14:00","LONG","STRUCT_UP",24961,24962,80,16,120,7.25,0.034482758620689655
"2025-09-23","2025-09-23 11:22:00","2025-09-23 11:23:00","LONG","STRUCT_UP",24964.5,24965.5,80,16,120,5.5,0.8181818181818182
"2025-09-23","2025-09-23 11:24:00","2025-09-23 11:25:00","LONG","STRUCT_UP",24968.75,24969.75,80,16,120,9,0.75
"2025-09-23","2025-09-23 11:37:00","2025-09-23 11:38:00","SHORT","STRUCT_DOWN",24950.5,24949.5,80,16,120,12.75,0.5490196078431373
"2025-09-23","2025-09-23 11:38:00","2025-09-23 11:39:00","SHORT","STRUCT_DOWN",24946.75,24945.75,80,16,120,7,0.5
"2025-09-23","2025-09-23 11:39:00","2025-09-23 11:40:00","SHORT","STRUCT_DOWN",24943.5,24942.5,80,16,120,7.75,0.41935483870967744
"2025-09-23","2025-09-23 12:03:00","2025-09-23 12:04:00","SHORT","STRUCT_DOWN",24940.75,24939.75,80,16,120,6,0.625
"2025-09-23","2025-09-23 12:05:00","2025-09-23 12:06:00","SHORT","STRUCT_DOWN",24936.75,24935.75,80,16,120,6.25,0.56
"2025-09-23","2025-09-23 12:07:00","2025-09-23 12:08:00","SHORT","STRUCT_DOWN",24935,24934,80,16,120,8.25,0.5454545454545454
"2025-09-23","2025-09-23 12:08:00","2025-09-23 12:09:00","SHORT","STRUCT_DOWN",24926.75,24925.75,80,16,120,9.25,0.8648648648648649
