param_name,trigger_model,trade_side,setup_family,wall_side,delta_flip_pattern,orb_position,time_bucket,atr_regime,session_extreme_location,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,timeouts
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,74,0.4864864864864865,3.918918918918919,-1.4810810810810806,62.726741364864864,20.283783783783782,10.378378378378379,74,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,74,0.5,3.7837837837837838,-1.6162162162162157,80.98481147297298,22.743243243243242,11.135135135135135,74,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,75,0.5066666666666667,3.2133333333333334,-2.186666666666666,81.78771593333333,22.506666666666668,11.946666666666667,75,0
S20_A16_SW15_B5_L30x8_L44x16,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,61,0.45901639344262296,2.8360655737704916,-2.563934426229508,72.662073147541,21.24590163934426,9.80327868852459,61,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,75,0.5333333333333333,2.52,-2.8799999999999994,92.94394346666667,23.573333333333334,13.266666666666667,75,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,61,0.4918032786885246,2.5081967213114753,-2.891803278688524,84.62221008196721,22.475409836065573,11.032786885245901,61,0
S24_A16_SW15_B6_L32x8_L48x18,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,74,0.5,2.324324324324324,-3.0756756756756753,89.40069001351351,23.175675675675677,12.378378378378379,74,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.46,2.315,-3.0849999999999995,49.934271685000006,22.465,11.595,200,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,61,0.4918032786885246,2.2459016393442623,-3.154098360655737,54.050143245901644,19.262295081967213,9.459016393442623,61,0
S20_A12_SW10_B4_L24x6_L36x12,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,75,0.4266666666666667,2.013333333333333,-3.3866666666666663,57.69918586666667,18.84,10.813333333333333,75,0
