param_name,trigger_model,trade_side,setup_family,wall_side,delta_flip_pattern,orb_position,time_bucket,atr_regime,session_extreme_location,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,vwap_targets,orb_targets,opposite_exits,timeouts
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,195,0.15897435897435896,6.656410256410257,1.2564102564102562,151.46997125641025,37.84102564102564,11.338461538461539,164,0,0,0,31
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,173,0.3583815028901734,4.69364161849711,-0.7063583815028907,6.285878375722544,9.780346820809248,3.6416184971098264,6,0,0,167,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.29508196721311475,4.557377049180328,-0.8426229508196725,7.473612114754098,9.614754098360656,4.368852459016393,5,0,0,117,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,173,0.35260115606936415,4.531791907514451,-0.8682080924855495,6.2334373583815035,9.757225433526012,3.601156069364162,7,0,0,166,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,171,0.3157894736842105,4.47953216374269,-0.9204678362573104,5.724230608187135,9.391812865497077,4.029239766081871,6,0,0,165,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,166,0.39759036144578314,4.4397590361445785,-0.9602409638554219,6.695275180722892,8.96987951807229,3.7590361445783134,0,0,0,166,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,171,0.3157894736842105,4.409356725146199,-0.9906432748538017,5.724701058479533,9.391812865497077,4.029239766081871,6,0,0,165,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.28688524590163933,4.344262295081967,-1.0557377049180334,7.398686631147541,9.581967213114755,4.311475409836065,6,0,0,116,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,195,0.27692307692307694,4.2,-1.2000000000000002,10.480180646153846,10.543589743589743,3.825641025641026,9,0,0,186,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,251,0.2589641434262948,3.9282868525896415,-1.4717131474103589,5.549460199203187,8.047808764940239,3.1115537848605577,1,0,0,250,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,251,0.250996015936255,3.896414342629482,-1.5035856573705182,5.524965864541833,8.047808764940239,3.047808764940239,5,0,0,246,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.27,3.88,-1.5200000000000002,8.63721331,8.095,3.615,0,0,0,200,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.27,3.88,-1.5200000000000002,8.63721331,8.095,3.615,0,0,0,200,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,251,0.250996015936255,3.800796812749004,-1.5992031872509964,5.470961717131474,8.03187250996016,3.0278884462151394,7,0,0,244,0
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,189,0.13227513227513227,3.7195767195767195,-1.6804232804232806,139.43125883068782,35.074074074074076,12.698412698412698,164,0,0,0,25
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.255,3.39,-2.0100000000000002,7.96114476,7.79,3.535,11,0,0,189,0
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.11475409836065574,3.3524590163934427,-2.0475409836065577,216.79347398360656,37.28688524590164,13.59016393442623,108,0,0,0,14
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,SHORT,REJECTION,ASK,BUY_TO_SELL_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,165,0.34545454545454546,3.296969696969697,-2.1030303030303035,6.187248842424243,8.472727272727273,4.242424242424242,3,0,0,162,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,173,0.3179190751445087,3.2890173410404624,-2.110982658959538,5.618330572254335,8.947976878612717,3.3179190751445087,14,0,0,159,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,BREAK,BID,CONTINUED_SELL,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,200,0.255,3.275,-2.1250000000000004,9.431638805,9.405,4.22,11,0,0,189,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,197,0.24873096446700507,3.1928934010152283,-2.207106598984772,5.355091827411167,7.279187817258883,3.517766497461929,1,0,0,196,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,197,0.24873096446700507,3.182741116751269,-2.217258883248731,5.355122456852792,7.279187817258883,3.517766497461929,1,0,0,196,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,197,0.2436548223350254,3.1269035532994924,-2.273096446700508,5.298375020304568,7.238578680203045,3.517766497461929,2,0,0,195,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,122,0.2540983606557377,3.0901639344262297,-2.309836065573771,6.769895442622951,8.975409836065573,4.090163934426229,15,0,0,107,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,204,0.25980392156862747,3.0588235294117645,-2.3411764705882354,7.901365181372548,7.328431372549019,4.117647058823529,0,0,0,204,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,204,0.25980392156862747,3.0588235294117645,-2.3411764705882354,7.901365181372548,7.328431372549019,4.117647058823529,0,0,0,204,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,171,0.27485380116959063,2.9766081871345027,-2.4233918128654977,5.027221432748538,8.549707602339181,3.736842105263158,15,0,0,156,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,197,0.2182741116751269,2.9746192893401013,-2.4253807106598986,7.977652167512691,7.1725888324873095,3.746192893401015,1,0,0,196,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,197,0.2182741116751269,2.954314720812183,-2.4456852791878174,7.977652167512691,7.1725888324873095,3.761421319796954,1,0,0,196,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,ASK,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,204,0.2549019607843137,2.9019607843137254,-2.4980392156862745,7.609355485294118,7.269607843137255,4.073529411764706,7,0,0,197,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,PM_DRIFT,NORMAL_VOL,MID_SESSION_RANGE,197,0.2131979695431472,2.8274111675126905,-2.57258883248731,7.449606705583757,7.040609137055838,3.6903553299492384,7,0,0,190,0
S20_ORB_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,171,0.16374269005847952,2.6666666666666665,-2.7333333333333334,152.7779503859649,32.54970760233918,12.801169590643275,143,0,0,0,28
S20_VWAP_ONLY_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,171,0.16374269005847952,2.6666666666666665,-2.7333333333333334,152.7779503859649,32.54970760233918,12.801169590643275,143,0,0,0,28
S24_VWAP_ORB_NOOPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,BID,SELL_TO_BUY_FLIP,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,173,0.12138728323699421,2.61271676300578,-2.7872832369942198,224.2859732485549,39.01156069364162,14.578034682080926,152,0,0,0,21
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,BID,CONTINUED_BUY,BELOW_OR_LOW,CLOSE,NORMAL_VOL,MID_SESSION_RANGE,241,0.21161825726141079,2.5684647302904566,-2.831535269709544,5.16850253526971,7.265560165975104,3.4315352697095434,9,0,0,232,0
