param_name,trigger_model,trade_side,setup_family,trades,win_rate,gross_expectancy_ticks,net_expectancy_ticks,avg_hold_seconds,med_hold_seconds,avg_mfe_ticks,avg_mae_ticks,stops,vwap_targets,orb_targets,opposite_exits,timeouts
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,REJECTION,769,0.27698309492847856,3.6644993498049416,-1.7355006501950587,6.699400479843954,3.660486,8.11963589076723,3.4408322496749024,7,0,0,762,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,769,0.27308192457737324,3.615084525357607,-1.784915474642393,6.675852446033811,3.631649,8.11443433029909,3.4070221066319895,13,0,0,756,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,REJECTION,769,0.2613784135240572,3.17555266579974,-2.2244473342002604,6.34401600260078,3.412175,7.847854356306892,3.3159947984395317,33,0,0,736,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,LONG,BREAK,666,0.25675675675675674,3.0705705705705704,-2.3294294294294295,6.860271174174174,3.819834,7.587087087087087,3.963963963963964,6,0,0,660,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,666,0.2552552552552553,3.0285285285285286,-2.3714714714714717,6.846555145645645,3.7988264999999997,7.581081081081081,3.9534534534534536,7,0,0,659,0
S20_VWAP_ORB_OPP_BE16p2_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,749,0.24299065420560748,2.897196261682243,-2.5028037383177573,6.298891185580774,3.380487,7.60347129506008,3.739652870493992,16,0,0,733,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_8T_PULLBACK,LONG,REJECTION,749,0.24432576769025366,2.8931909212283045,-2.506809078771696,6.329194822429907,3.412175,7.60347129506008,3.8117489986648865,10,0,0,739,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_6T_PULLBACK,LONG,BREAK,666,0.24624624624624625,2.7282282282282284,-2.671771771771772,6.611980147147147,3.701075,7.43993993993994,3.8843843843843846,29,0,0,637,0
S24_NO_TARGET_OPP_BE20p4_T15m,CONFIRM_6T_PULLBACK,SHORT,REJECTION,740,0.27837837837837837,2.5337837837837838,-2.866216216216216,7.358273462162162,4.201761,8.052702702702703,4.171621621621622,15,0,0,725,0
S16_VWAP_ORB_OPP_BE12p1_T10m,CONFIRM_8T_PULLBACK,LONG,REJECTION,749,0.23097463284379172,2.502002670226969,-2.8979973297730313,5.972443461949265,3.2427,7.365821094793057,3.643524699599466,37,0,0,712,0
