entry_time,exit_time,direction,regime,entry_price,exit_price,pnl,bars_held,reason,exit_reason
2025-10-17 04:20:52,2025-10-17 04:20:53,short,choppy,24437.25,24438.5,-10.0,1,choppy_breakout_ask@24425.00,stop_loss
2025-10-17 04:28:59,2025-10-17 04:29:00,short,choppy,24700.0,24701.25,-10.0,1,choppy_breakout_ask@24700.00,stop_loss
2025-10-17 04:48:10,2025-10-17 04:48:11,short,choppy,24705.75,24707.0,-10.0,1,choppy_breakout_ask@24700.00,stop_loss
2025-10-17 04:48:25,2025-10-17 04:48:33,short,choppy,24712.25,24709.75,20.0,8,choppy_breakout_ask@24700.00,profit_target
2025-10-17 04:48:35,2025-10-17 04:48:36,short,choppy,24709.75,24707.25,20.0,1,choppy_breakout_ask@24700.00,profit_target
2025-10-17 04:48:40,2025-10-17 04:49:01,short,choppy,24710.0,24707.5,20.0,18,choppy_breakout_ask@24700.00,profit_target
2025-10-17 04:55:46,2025-10-17 04:55:48,short,choppy,24708.5,24709.75,-10.0,2,choppy_breakout_ask@24700.00,stop_loss
2025-10-17 04:59:55,2025-10-17 05:00:00,short,choppy,24706.0,24707.25,-10.0,5,choppy_breakout_ask@24700.00,stop_loss
2025-10-17 05:00:20,2025-10-17 05:00:34,short,choppy,24709.25,24706.75,20.0,14,choppy_breakout_ask@24700.00,profit_target
2025-10-17 05:01:05,2025-10-17 05:01:22,short,choppy,24706.0,24703.5,20.0,17,choppy_breakout_ask@24700.00,profit_target
2025-10-17 05:01:30,2025-10-17 05:01:36,short,choppy,24705.25,24706.5,-10.0,6,choppy_breakout_ask@24700.00,stop_loss
2025-10-17 05:02:23,2025-10-17 05:02:25,short,choppy,24704.75,24706.0,-10.0,2,choppy_breakout_ask@24700.00,stop_loss
2025-10-17 05:21:08,2025-10-17 05:21:09,short,choppy,24654.0,24655.25,-10.0,1,choppy_breakout_ask@24650.00,stop_loss
2025-10-17 05:33:47,2025-10-17 05:33:48,short,choppy,24650.25,24651.5,-10.0,1,choppy_breakout_ask@24650.00,stop_loss
